country name,flag colors,star on flag,coat of arms on flag,borders the following countries,official languages,island,landlocked,equator,gdp over 1 trillion,population over 100 million,hosted world cup,hosted olympics,EU member,former communist,commonwealth,brics+ (member or partner),monarchy,multiple timezones,capital most populated,majority religion,drives on left side,Region (UN nations geoscheme)
Slovakia,Red White Blue,N,Y,Czechia/Poland/Ukraine/Hungary/Austria,Slovak,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Christianity,N,Eastern Europe
Slovenia,Red White Blue Yellow,Y,Y,Italy/Austria/Hungary/Croatia,Slovene,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Christianity,N,Eastern Europe
Solomon Islands,Blue Yellow Green White,Y,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Melanesia
Somalia,Blue White,Y,N,Djibouti/Ethiopia/Kenya,Somali,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,Islam,N,Eastern Africa
South Africa,Red White Green Yellow Black Blue,N,N,Namibia/Botswana/Zimbabwe/Mozambique/Lesotho/Eswatini,English Zulu Afrikaans Xhosa Sotho Swazi Sotho Tswana,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,N,Christianity,Y,Southern Africa
South Korea,Red White Blue Black,N,N,North Korea,Korean,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Non-Religious,N,Eastern Asia
South Sudan,Blue Black Green Red Yellow White,Y,N,Sudan/Ethiopia/Uganda/Democratic Republic of the Congo/Central African Republic,English,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Eastern Africa
Spain,Yellow Red Pink White Blue Green Gray Black,N,Y,Portugal/Morocco/United Kingdom/France/Andorra,Spanish,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Christianity,N,Southern Europe
Sri Lanka,Red Yellow Green Orange Black,N,N,None,Sinhala Tamil,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Buddhism,Y,Southern Asia
Sudan,Green Red White Black,N,N,Egypt/Libya/Chad/Central African Republic/South Sudan/Ethiopia/Eritrea,Arabic English,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Northern Africa
Suriname,Green White Red Yellow,Y,N,Guyana/Brazil/France,Dutch English SrananTongo,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,No Majority,Y,South America
Sweden,Blue Yellow,N,N,Norway/Finland,Swedish,N,N,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,Christianity,N,Northern Europe
Switzerland,Red White,N,N,Liechtenstein/Austria/Italy/France/Germany,German French Italian Romansh,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Christianity,N,Western Europe
Syria,Green White Black Red,Y,N,Lebanon/Israel/Jordan/Iraq/Türkiye,Arabic,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Western Asia
Tajikistan,Red White Green Yellow,Y,N,Afghanistan/Uzbekistan/Kyrgyzstan/China,Tajik,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Islam,N,Central Asia
Tanzania,Blue Yellow Black Green,N,N,Mozambique/Zambia/Democratic Republic of the Congo/Rwanda/Burundi/Uganda/Kenya,English Swahili,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Christianity,Y,Eastern Africa
Thailand,Red White Blue,N,N,Malaysia/Cambodia/Laos/Myanmar,Thai,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Buddhism,Y,Southeastern Asia
Timor Leste,Red Yellow Black White,Y,N,Indonesia,Portuguese Tetum,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,Y,Southeastern Asia
Togo,Red White Yellow Green,Y,N,Ghana/Burkina Faso/Benin,French,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,No Majority,N,Western Africa
Tonga,Red White,N,N,None,Tongan,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Polynesia
Trinidad and Tobago,Red Black White,N,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Christianity,Y,Caribbean
Tunisia,Red White,Y,N,Libya/Algeria,Arabic,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Northern Africa
Türkiye,Red White,Y,N,Greece/Bulgaria/Georgia/Armenia/Azerbaijan/Iran/Iraq/Syria,Turkish,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Islam,N,Western Asia
Turkmenistan,Green White Red Yellow Black,Y,N,Kazakhstan/Uzbekistan/Afghanistan/Iran,Turkmen,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Islam,N,Central Asia
Tuvalu,Red White Blue Yellow,Y,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Polynesia
Uganda,Black Yellow Red White Gray,N,N,South Sudan/Kenya/Tanzania/Rwanda/Democratic Republic of the Congo,English Swahili,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,Christianity,Y,Eastern Africa
Ukraine,Blue Yellow,N,N,Russia/Belarus/Poland/Slovakia/Hungary/Romania/Moldova,Ukrainian,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Christianity,N,Eastern Europe
United Arab Emirates,Red Green White Black,N,N,Oman/Saudi Arabia,Arabic,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Islam,N,Western Asia
United Kingdom,Red White Blue,N,N,Ireland/Spain/Cyprus,English,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Christianity,Y,Northern Europe
United States of America,Red White Blue,Y,N,Canada/Mexico,English,N,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,Christianity,N,Northern America
Uruguay,White Blue Yellow Brown,Y,N,Argentina/Brazil,Spanish,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Christianity,N,South America
Uzbekistan,Blue White Green Red,Y,N,Kazakhstan/Kyrgyzstan/Tajikistan/Turkmenistan/Afghanistan,Uzbek,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,Islam,N,Central Asia
Vanuatu,Yellow Red Green Yellow,N,N,None,French English Bislama,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,N,Melanesia
Vatican City,White Yellow Red Gray,N,N,Italy,Latin Italian,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,Christianity,N,Southern Europe
Venezuela,Yellow Blue Red White,Y,N,Colombia/Brazil/Guyana,Spanish,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,South America
Vietnam,Red Yellow,Y,N,China/Laos/Cambodia,Vietnamese,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Non-Religious,N,Southeastern Asia
Yemen,Red White Black,N,N,Oman/Saudi Arabia,Arabic,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Islam,N,Western Asia
Zambia,Green Orange Black Red,N,N,Botswana/Zimbabwe/Mozambique/Malawi/Tanzania/Democratic Republic of the Congo/Angola/Namibia,English,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,Y,Eastern Africa
Zimbabwe,Green Yellow Red Black White,Y,N,Botswana/South Africa/Mozambique/Zambia,English Tonga Tswana Xhosa Sotho Chewa Chibarwe Kalanga Koisan Nambya Ndau Ndebele Shangani Shona Venda,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,Y,Eastern Africa
